Shelf ID,Book ID,Book Name,Author,Category
R-1-4,1135,Troubles,JG Farrell,Adult Fiction
R-1-4,834,Midnight Voices,John saul,Adult Fiction
R-1-4,830,The Picture of Dorian Gray,Oscar Wilde,Adult Fiction
R-1-4,1429,The Maid,Nita Prose,Adult Fiction
R-1-4,1420,The Nightingale,Kristin Hannah,Adult Fiction
,,,,Adult Fiction
R-1-5,729,The Fox,Frederick Forsyth,Adult Fiction
R-1-5,1109,Slay Ride,Alfred Hitchcock,Adult Fiction
R-1-5,106,Hygge and Kisses,Clara Christensen,Adult Fiction
R-1-5,1410,The Case of the Sleepwalker's Niece,Erle Stanley Gardner,Adult Fiction
R-1-5,1403,A Little Life,Hanya Yanagihara,Adult Fiction
R-1-5,585,Pandemic,Robin Cook,Adult Fiction
R-1-5,1391,The Thursday Friend,Catherine Cookson,Adult Fiction
R-1-5,169,A 2nd Helping of Chicken Soup for the Soul,Jack Canfield Mark Victor Hansen,Adult Fiction
R-1-5,1317,Shantaram,Gregory David Roberts,Adult Fiction
R-1-5,1065,Breaking Dawn,Stephanie Meyer,Adult Fiction
R-1-5,1394,Family Honor,Robert B Parker,Adult Fiction
R-1-5,466,My Gal Sunday,Mary Higgins Clark,Adult Fiction
R-1-5,1122,The Mysterious Islan,Jules Verne,Adult Fiction
R-1-5,102,The Hound of the Baskervilles,Arthur Conan Doyle,Adult Fiction
R-1-5,294,Reader's Digest select Editions,,Adult Fiction
R-1-5,108,Me Before You,Jojo Moyes,Adult Fiction
R-1-5,785,Executive Orders,Tom Clancy,Adult Fiction
R-1-5,172,The Missing Sister,Dinah Jefferies,Adult Fiction
R-1-5,1130,Behind the Scenes at the Museum,Kate Atkinson,Adult Fiction
R-1-5,1319,The Alchemy of Voice,Stewart Pearce,Adult Fiction
R-1-5,1106,Eldest,Christopher Paolini,Adult Fiction
R-1-5,1091,The Architect's Apprentice,Elif Shafak,Adult Fiction
R-1-6,692,Water Cooler,Parul sharma,Adult Fiction
R-1-6,1322,,,Adult Fiction
R-1-6,638,Love By the way,Bhavana Arora,Adult Fiction
R-1-6,744,The Sane Pcycopath,salil Desai,Adult Fiction
R-1-6,192,The best seller she wrote,Ravi Subramaniam,Adult Fiction
R-1-6,284,Battle for Bittora,Anuja Chauhan,Adult Fiction
R-1-6,748,Secret Spaces,Aruna Chakravarthy,Adult Fiction
R-1-6,725,My Friend Sancho,Amit Verma,Adult Fiction
R-1-6,777,Fool's Paradise,Mohan Kumar Thangaraju,Adult Fiction
R-1-6,286,The Class of 83,S Hussain Zahidi,Adult Fiction
R-1-6,502,The Accidental Apprentice,Vikas Swarup,Adult Fiction
R-1-6,289,Club you to death,Anuja Chauhan,Adult Fiction
R-1-6,745,Revolt of the Fish Eaters,Lopa Ghosh,Adult Fiction
R-1-6,1098,Ravan and Eddie,Kiran Nagarkar,Adult Fiction
R-1-6,3,The Promise,Nikita Singh,Adult Fiction
R-1-6,757,The Hunt for Rama's Bow,Suhail Mathur,Adult Fiction
R-1-6,1070,The Anatomy of a sting,Bhupen Patel,Adult Fiction
R-1-6,7,Tell me a Story,Ravinder Singh,Adult Fiction
R-1-6,726,Samsara- Enter the valley of the Gods,sasksham Garg,Adult Fiction
R-1-6,305,Narcopolis,Jeet Thayil,Adult Fiction
R-1-6,740,An Evening in Calcutta,K A Abbas,Adult Fiction
R-1-6,337,Half Love Half Arranged,Ithisha Peerboy,Adult Fiction
R-1-6,1089,English August,Upamanyu Chatterjee,Adult Fiction
R-1-6,778,One Midnight Summer Madness,Mohan Kumar Thangaraju,Adult Fiction
R-1-6,304,Phool Sungi,Pandey Kapil,Adult Fiction
R-1-6,694,Interpretor of Maladies,Jhumpa Lehrey,Adult Fiction
R-1-6,1080,Naughty'cal smiles,Madhu Neglur,Adult Fiction
R-1-6,770,Twists and Turns,Vinu,Adult Fiction
R-1-6,1320,The Home coming & other stories,Sri M,Adult Fiction
R-1-6,697,Anything for you Ma'am,Tushar Raheja,Adult Fiction
R-1-6,753,Those Small Lil Things in Life & Loe,Rahul Saini,Adult Fiction
R-1-6,20,You're the password to my life,Sudeep Nagarkar,Adult Fiction
R-1-6,746,The Murder of Sonia Raikonen,salil Desai,Adult Fiction
R-1-6,852,10 Kings,Ashok K Banker,Adult Fiction
R-1-6,41,Where Girls Dare,Bhavan Chauhan,Adult Fiction
R-1-7,1076(B),Ponniyan Selvan- Volume 1,M Raja Ram,Adult Fiction
R-1-7,1076©,Ponniyan Selvan- Volume 2,M Raja Ram,Adult Fiction
